Instrument Serial Num,Reading #,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude,Sample ID,Project No.,Sample Type,Operator,Notes, Units,K Concentration,K Error1s,Ca Concentration,Ca Error1s,Ti Concentration,Ti Error1s,Cr Concentration,Cr Error1s,Mn Concentration,Mn Error1s,Fe Concentration,Fe Error1s,Ni Concentration,Ni Error1s,Cu Concentration,Cu Error1s,Zn Concentration,Zn Error1s,Rb Concentration,Rb Error1s,Sr Concentration,Sr Error1s,Zr Concentration,Zr Error1s,Ag Concentration,Ag Error1s,Cd Concentration,Cd Error1s,Pb Concentration,Pb Error1s,Real Time 1,Real Time 2,Real Time 3,
801662,2,Resin04,,2,No,,,A101-C,,In Situ,,,PPM,283,11,2861,18,4,1,7,1,8,1,3,1,<LOD,4,<LOD,2,<LOD,1,13,4,325,11,<LOD,18,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,3,Resin04,,3,No,,,A101-A,,In Situ,,,PPM,<LOD,13,349,3,3,0,21,1,5,1,<LOD,1,5,1,<LOD,2,3,0,38,3,<LOD,7,<LOD,12,<LOD,5,<LOD,7,2,0,20,20,20,
801662,4,Resin04,,4,No,,,A201-C,,In Situ,,,PPM,999,16,3941,23,3,1,6,1,11,1,3,1,<LOD,4,<LOD,2,4,0,34,4,192,9,<LOD,15,<LOD,4,<LOD,6,<LOD,2,20,20,20,
801662,5,Resin04,,5,No,,,A201-A,,In Situ,,,PPM,<LOD,13,366,3,4,0,21,1,4,1,1,0,<LOD,4,<LOD,2,3,0,39,3,<LOD,8,<LOD,10,<LOD,5,<LOD,6,2,0,20,20,20,
801662,6,Resin04,,6,No,,,A301-C,,In Situ,,,PPM,449,12,1541,13,3,1,6,1,10,1,3,1,<LOD,4,<LOD,2,3,0,<LOD,10,108,7,<LOD,13,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,7,Resin04,,7,No,,,A301-A,,In Situ,,,PPM,<LOD,16,415,4,4,1,<LOD,2,<LOD,2,<LOD,2,<LOD,4,<LOD,2,2,0,34,4,<LOD,8,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,8,Resin04,,8,No,,,A401-C,,In Situ,,,PPM,147,10,2311,16,5,1,7,1,17,1,6,1,<LOD,4,<LOD,2,1,0,<LOD,11,114,7,<LOD,15,<LOD,4,<LOD,6,<LOD,1,20,20,20,
801662,9,Resin04,,9,No,,,A401-A,,In Situ,,,PPM,<LOD,16,356,3,2,0,<LOD,2,3,1,<LOD,1,<LOD,4,<LOD,2,3,0,34,4,<LOD,9,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,10,Resin04,,10,No,,,A501-C,,In Situ,,,PPM,365,11,4395,24,3,1,5,1,16,1,3,1,10,2,<LOD,2,6,1,12,4,241,10,<LOD,17,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,11,Resin04,,11,No,,,A501-A,,In Situ,,,PPM,<LOD,15,379,3,3,0,<LOD,2,2,1,4,1,<LOD,4,<LOD,2,3,0,44,4,<LOD,8,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
801662,12,Resin04,,12,No,,,A701-A,,In Situ,,,PPM,<LOD,15,378,3,5,1,<LOD,2,3,1,6,1,<LOD,4,21,1,23,1,55,4,<LOD,8,<LOD,11,<LOD,5,<LOD,6,1,0,20,20,20,
801662,13,Resin04,,13,No,,,A701-C,,In Situ,,,PPM,2071,21,5174,27,6,1,6,1,16,1,11,1,6,2,<LOD,2,218,2,30,4,286,11,<LOD,17,<LOD,4,<LOD,6,<LOD,2,20,20,20,
801662,14,Resin04,,14,No,,,B101-C,,In Situ,,,PPM,183,10,743,9,9,1,7,1,18,1,11,1,<LOD,4,<LOD,2,1097,5,<LOD,11,29,4,<LOD,12,<LOD,5,36,2,9,1,20,20,20,
801662,15,Resin04,,15,No,,,B101-A,,In Situ,,,PPM,<LOD,19,410,4,8,1,<LOD,2,3,1,19,1,<LOD,4,10,1,154,2,31,4,<LOD,7,<LOD,11,<LOD,5,10,2,11,1,20,20,20,
801662,16,Resin04,,16,No,,,B201-A,,In Situ,,,PPM,<LOD,20,922,7,17,1,3,1,7,1,44,1,<LOD,4,12,1,1113,5,2453,14,<LOD,9,<LOD,12,<LOD,5,9,2,17,1,20,20,20,
801662,17,Resin04,,17,No,,,B301-A,,In Situ,,,PPM,<LOD,14,473,4,8,1,3,1,7,1,56,1,<LOD,4,6,1,278,2,2114,12,<LOD,8,<LOD,11,<LOD,5,<LOD,7,10,1,20,20,20,
801662,18,Resin04,,18,No,,,B301-C,,In Situ,,,PPM,2087,21,3469,21,14,1,9,1,15,1,135,2,<LOD,4,7,1,793,4,317,6,132,8,<LOD,14,<LOD,5,12,2,8,1,20,20,20,
801662,19,Resin04,,19,No,,,B501-C,,In Situ,,,PPM,<LOD,19,1094,10,4,1,7,1,7,1,<LOD,2,<LOD,4,<LOD,2,12,1,<LOD,10,36,4,<LOD,11,<LOD,5,<LOD,6,<LOD,1,20,20,20,
