Sample ID,Ag,Ca,Cd,Cr,Cu,Fe,K,Mn,Ni,Pb,Rb,Sr,Ti,Zn,Zr
A101-A,ND,349.0,ND,21,ND,ND,ND,5,5,2,38,ND,ND,3,ND
A201-A,ND,366.0,ND,21,ND,ND,ND,4,ND,2,39,ND,ND,3,ND
A301-A,ND,415.0,ND,ND,ND,ND,ND,ND,ND,ND,34,ND,ND,2,ND
A401-A,ND,356.0,ND,ND,ND,ND,ND,3,ND,ND,34,ND,ND,3,ND
A501-A,ND,379.0,ND,ND,ND,ND,ND,2,ND,ND,44,ND,ND,3,ND
A701-A,ND,378.0,ND,ND,21,ND,ND,3,ND,ND,55,ND,5,23,ND
B101-A,ND,410.0,10,ND,10,19,ND,3,ND,11,31,ND,8,154,ND
B201-A,ND,922.0,9,3,12,44,ND,7,ND,17,2453,ND,17,1113,ND
B301-A,ND,473.0,ND,3,6,56,ND,7,ND,10,2114,ND,8,278,ND
B501-A,ND,350.0,ND,ND,ND,ND,ND,ND,ND,ND,45,ND,7,4,ND
B601-A,ND,478.0,ND,ND,ND,65,ND,4,ND,ND,28,ND,38,7,ND
B701-A,ND,407.0,ND,4,2,ND,ND,7,ND,2,234,ND,6,7,ND
B801-A,ND,458.0,ND,4,ND,10,ND,6,ND,2,136,ND,10,20,ND
B901-A,ND,412.0,ND,5,ND,8,ND,8,ND,ND,167,ND,5,10,ND
B1001-A,ND,405.0,ND,4,ND,15,ND,2,ND,ND,45,ND,10,7,ND
B1101-A,ND,430.0,ND,4,ND,27,ND,4,ND,2,40,ND,20,16,ND
B1201-A,ND,346.0,ND,ND,ND,11,ND,ND,ND,ND,17,ND,7,3,ND
B1301-A,ND,415.0,ND,9,ND,67,45,4,ND,ND,38,ND,41,61,ND
B1401-A,ND,366.0,ND,2,ND,ND,ND,4,ND,9,2536,ND,5,26,ND
C101-A,ND,419.0,ND,ND,ND,33,ND,4,ND,ND,54,ND,24,9,ND
C201-A,ND,440.0,ND,3,ND,10,ND,7,ND,2,128,ND,ND,9,ND
C301-A,ND,377.0,ND,ND,ND,22,ND,3,ND,ND,32,ND,6,6,ND
C401-A,ND,437.0,ND,13,93,69,ND,6,71,ND,49,ND,20,19,ND
C501-A,ND,,ND,155,663,ND,,ND,132,ND,54,ND,ND,100,ND
C501-A,5,370.0,ND,25,160,20,ND,6,47,ND,50,ND,11,11,ND
C601-A,ND,394.0,ND,27,151,41,ND,6,11,2,63,ND,10,16,ND
C701-A,ND,482.0,ND,2,6,39,ND,6,ND,2,86,10,8,8,ND
C801-A,ND,440.0,ND,69,150,ND,ND,6,75,ND,54,ND,ND,9,ND
C901-A,ND,439.0,ND,ND,ND,38,ND,5,ND,ND,175,ND,6,4,ND
C1001-A,ND,507.0,ND,8,ND,84,ND,3,ND,ND,49,ND,27,11,ND
C1101-A,ND,421.0,ND,ND,ND,34,ND,ND,ND,ND,74,ND,12,8,ND
C1201-A,ND,518.0,ND,3,ND,24,ND,6,ND,ND,37,ND,27,22,ND
D201-A,ND,379.0,ND,ND,14,16,ND,3,ND,ND,26,ND,8,4,ND
D301-A,6,360.0,ND,4,151,ND,ND,10,ND,ND,44,ND,5,2,ND
D401-A,ND,353.0,ND,3,79,ND,ND,5,ND,ND,33,ND,ND,3,ND
D501-A,ND,441.0,ND,40,179,11,ND,7,232,ND,75,ND,12,7,ND
D601-A,62,385.0,ND,ND,20,17,ND,3,ND,ND,34,ND,5,4,ND
D701-A,36,407.0,ND,30,17,29,ND,8,ND,ND,50,ND,13,17,ND
D801-A,11,994.0,ND,25,22,24,ND,7,76,ND,57,ND,9,8,ND
D901-A,ND,403.0,ND,ND,ND,14,ND,3,ND,ND,36,ND,15,14,ND
D1001-A,ND,407.0,ND,ND,ND,37,ND,10,ND,ND,67,ND,15,2,ND
D1201-A,ND,362.0,ND,ND,12,24,ND,ND,10,ND,15,ND,9,9,ND
D1301-A,ND,409.0,ND,ND,ND,8,ND,ND,ND,ND,32,ND,8,17,ND
D1401-A,ND,412.0,ND,3,28,17,ND,9,ND,ND,33,ND,10,4,ND
A102-A,ND,339.0,ND,15,ND,ND,ND,6,ND,ND,42,ND,ND,1,ND
A202-A,ND,364.0,ND,ND,ND,ND,ND,2,ND,ND,38,ND,ND,2,ND
A302-A,ND,379.0,ND,ND,ND,ND,ND,3,ND,ND,45,ND,ND,3,ND
A402-A,ND,348.0,ND,ND,ND,ND,ND,2,ND,ND,34,ND,ND,7,ND
A502-A,ND,477.0,ND,ND,ND,ND,ND,2,ND,ND,46,ND,ND,3,ND
A702-A,ND,366.0,ND,ND,ND,ND,ND,2,ND,ND,40,ND,ND,14,ND
B102-A,ND,385.0,ND,ND,ND,ND,ND,2,ND,3,62,ND,ND,65,ND
B202-A,ND,503.0,ND,ND,ND,ND,ND,5,ND,12,3357,ND,7,155,ND
B302-A,ND,405.0,ND,ND,ND,ND,ND,5,ND,13,3385,ND,6,98,ND
B502-A,ND,431.0,ND,ND,ND,ND,ND,4,ND,3,637,ND,6,3,ND
B605-A,ND,364.0,ND,ND,ND,ND,ND,3,ND,ND,21,ND,ND,3,ND
B702-A,ND,544.0,ND,3,3,12,ND,7,ND,ND,263,ND,5,24,ND
B802-A,ND,422.0,ND,10,ND,14,ND,7,ND,2,162,ND,8,29,ND
B902-A,ND,392.0,ND,5,ND,18,ND,11,ND,ND,181,11,8,13,ND
B1002-A,ND,412.0,ND,ND,ND,17,ND,4,ND,ND,35,ND,11,12,ND
B1102-A,ND,391.0,ND,ND,ND,14,ND,ND,ND,ND,40,ND,12,10,ND
B1202-A,ND,326.0,ND,ND,ND,ND,ND,ND,ND,ND,17,ND,ND,ND,ND
B1302-A,ND,387.0,ND,ND,ND,ND,ND,3,ND,ND,33,ND,ND,5,ND
B1402-A,ND,373.0,ND,ND,ND,ND,ND,5,ND,13,3676,ND,6,35,ND
