Sample ID,Ag,Ca,Cd,Cr,Cu,Fe,K,Mn,Ni,Pb,Rb,Sr,Ti,Zn,Zr
A101-C,ND,2861.0,ND,7,ND,ND,283,8,ND,ND,13,325,ND,ND,ND
A201-C,ND,3941.0,ND,6,ND,ND,999,11,ND,ND,34,192,ND,4,ND
A301-C,ND,1541.0,ND,6,ND,ND,449,10,ND,ND,ND,108,ND,3,ND
A401-C,ND,2311.0,ND,7,ND,ND,147,17,ND,ND,ND,114,5,1,ND
A501-C,ND,4395.0,ND,5,ND,ND,365,16,10,ND,12,241,ND,6,ND
A701-C,ND,5174.0,ND,6,ND,11,2071,16,6,ND,30,286,6,218,ND
B101-C,ND,743.0,36,7,ND,11,183,18,ND,9,ND,29,9,1097,ND
B301-C,ND,3469.0,12,9,7,135,2087,15,ND,8,317,132,14,793,ND
B501-C,ND,1094.0,ND,7,ND,ND,ND,7,ND,ND,ND,36,ND,12,ND
B601-C,ND,4520.0,ND,7,ND,50,2361,23,ND,ND,40,199,34,54,ND
B701-C,ND,9189.0,ND,9,ND,40,377,25,ND,ND,17,569,29,11,24
B801-C,ND,4088.0,ND,7,ND,8,611,13,ND,ND,13,236,7,14,ND
B901-C,ND,10038.0,ND,7,ND,44,416,409,ND,ND,ND,1227,12,13,ND
B1001-C,ND,3424.0,ND,14,ND,22,1466,14,ND,ND,32,204,15,119,ND
B1101-C,ND,2100.0,ND,8,ND,17,560,13,ND,ND,18,125,17,332,ND
B1201-C,ND,501.0,ND,7,ND,10,ND,7,ND,ND,ND,15,7,8,ND
B1301-C,ND,1564.0,ND,11,ND,56,2583,11,ND,ND,81,106,24,188,ND
B1401-C,ND,1898.0,ND,7,ND,9,1952,7,ND,ND,301,59,6,103,ND
C1401-C,ND,,ND,ND,ND,ND,,ND,ND,ND,ND,350,ND,421,ND
C101-C,ND,7509.0,ND,4,ND,17,366,10,ND,ND,ND,352,10,89,ND
C201-C,ND,44417.0,ND,6,ND,11,ND,18,ND,ND,ND,1839,13,73,ND
C301-C,ND,3352.0,ND,7,ND,34,411,9,ND,ND,ND,170,ND,24,ND
C401-C,ND,7690.0,ND,8,13,27,994,11,95,ND,17,642,15,83,ND
C501-C,ND,9705.0,ND,11,18,15,1120,9,152,ND,17,802,10,69,ND
C601-C,ND,32042.0,ND,17,18,44,831,15,90,ND,15,1674,22,82,ND
C701-C,ND,27587.0,ND,10,3,86,641,28,17,ND,18,1083,19,25,ND
C801-C,ND,28689.0,ND,40,35,ND,227,7,120,ND,ND,1290,5,7,ND
C901-C,ND,17199.0,ND,8,ND,27,85,29,ND,ND,ND,619,5,26,ND
C1001-C,ND,7552.0,ND,10,ND,63,500,17,ND,ND,ND,358,13,7,ND
C1101-C,ND,4322.0,ND,8,ND,41,387,13,ND,ND,15,213,11,14,ND
D101-C,ND,4134.0,ND,6,ND,13,ND,10,ND,ND,ND,323,11,188,ND
D201-C,ND,2594.0,ND,9,7,12,147,15,10,ND,ND,156,8,19,ND
D301-C,ND,14787.0,ND,4,22,15,514,119,30,ND,ND,1219,5,17,ND
D401-C,ND,4348.0,ND,7,153,23,511,30,30,ND,ND,297,8,52,ND
D501-C,ND,18595.0,ND,17,17,12,3437,9,151,ND,39,2027,11,23,48
D601-C,6,1664.0,ND,6,ND,481,752,25,43,ND,ND,103,ND,16,ND
D701-C,ND,2863.0,ND,9,ND,52,937,14,74,ND,ND,181,7,31,ND
D801-C,ND,9749.0,ND,9,ND,15,1102,11,44,ND,39,679,15,36,27
D901-C,ND,2764.0,ND,5,ND,17,490,16,6,ND,ND,129,12,33,ND
D1001-C,ND,5799.0,ND,6,ND,24,750,47,ND,ND,ND,313,15,3,ND
D1201-C,ND,430.0,ND,7,19,ND,358,11,749,ND,ND,ND,5,46,ND
D1301-C,ND,2405.0,ND,7,ND,15,512,15,ND,ND,ND,114,7,33,ND
D1401-C,ND,5658.0,ND,7,24,18,64,34,47,ND,ND,416,9,89,ND
A102-C,ND,2112.0,ND,9,ND,ND,330,11,ND,ND,12,264,ND,1,ND
A202-C,ND,2545.0,ND,6,ND,ND,923,12,ND,ND,23,158,6,4,ND
A302-C,ND,2264.0,ND,7,ND,ND,782,13,ND,ND,ND,185,ND,3,ND
A402-C,ND,2312.0,ND,8,ND,ND,202,16,ND,ND,ND,140,5,2,ND
A502-C,ND,3780.0,ND,8,ND,ND,440,20,22,ND,ND,240,ND,5,ND
A702-C,ND,2637.0,ND,7,ND,ND,1134,12,ND,ND,18,173,ND,17,ND
B102-C,ND,997.0,ND,8,ND,ND,479,12,ND,2,26,68,ND,136,ND
B202-C,ND,988.0,ND,10,ND,ND,2060,12,ND,ND,345,30,ND,144,ND
B302-C,ND,2200.0,ND,7,ND,16,2174,11,ND,2,339,119,7,139,ND
B502-C,ND,33294.0,ND,8,ND,ND,ND,12,ND,ND,ND,1138,10,7,ND
B605-C,ND,312.0,ND,8,ND,ND,ND,8,ND,ND,ND,ND,5,15,ND
B702-C,ND,9746.0,ND,6,ND,ND,447,14,ND,ND,ND,601,ND,3,ND
